"title","brand","description","starsBreakdown/3star","starsBreakdown/4star","starsBreakdown/5star","reviewsCount","price","price/currency","price/value","categoryPageData/productPosition"
"Ferrero Collection, 12 Count, Assorted Milk and Dark Chocolate Hazelnut and Coconut, Valentine's Chocolate Gift Box, 4.6 oz","Ferrero Rocher","If you love Ferrero Rocher, you will love these Ferrero Collection chocolate gift boxes. An exquisite collection of delicious confections crafted from milk and dark chocolate as well as coconut almond truffles, the Ferrero Collection gift box features original, iconic Ferrero Rocher, lusciously layered Raffaello and delicious dark chocolate Rondnoir truffles. Each and every piece is made from the highest-quality ingredients and presented in an elegant diamond-cut gourmet chocolate gift box. Perfect for sharing and gifting, because there is something for everyone in this elegant box of assorted chocolates. Savor the variety of unique delights with this Ferrero Collection. Since the 1940s, Ferrero has delighted consumers with premium, one-of-a-kind chocolate treats. What began as a local pasticceria in Italy’s Piemonte region is now one of the world’s most popular confectioners, satisfying cravings in over 100 countries worldwide. Thanks to a commitment to quality, freshness and a unique taste experience, Ferrero continues to delight chocolate lovers all over the world.","0.04","0.09","0.84","4770",,,,"38"
"2 Pcs Anniversary Date Night Gifts for Couples Food Decision Dice Decider Valentines Day Gifts for Him Her Christmas Birthday Gifts for Husband Wife Boyfriend Girlfriend Funny Gifts for Women Men","Sophauteem",,"0.02","0.11","0.83","170",,"$","18.99","40"
"Marycele Candle Warmer Lamp, Electric Candle Lamp Warmer, Gifts for Mom, Bedroom Home Decor Dimmable Wax Melt Warmer for Scented Wax with 2 Bulbs, Jar Candles, Valentines Day Gifts","Marycele",,"0.05","0.07","0.78","1121",,,,"47"
"Lindt LINDOR Assorted Chocolate Candy Truffles, Valentine's Day Chocolate, 15.2 oz. Bag","Lindt","Remind friends or loved ones of how much they mean to you this Valentines Day with Lindt LINDOR Assorted Chocolate Truffles. These chocolate candy truffles are the perfect indulgence and make a thoughtful gift on their own or the perfect pairing with flowers or a bottle of wine for your special someone. Finely crafted with a premium chocolate shell, these chocolate candy truffles feature irresistibly smooth, melting centers for the ultimate chocolate experience. These Lindt LINDOR chocolate truffles are individually wrapped, making them perfect for gifting or arranging with rose petals to decorate for a romantic date night in. Using premium ingredients from world-renowned regions, Lindt Master Chocolatiers have been perfecting the art of fine chocolates with unmatched passion and commitment for over 175 years.","0.04","0.09","0.81","2369",,"$","11.49","33"
"STARBURST FaveReds Valentine's Day Fruit Chews Chewy Candy, Sharing Size, 15.6 oz Bag","Starburst","Like a mixtape of your favorite songs, STARBURST FaveREDS Chewy Candy is a mix of your favorite juicy red flavors all in one place. Enjoy an Valentine's Day mix of strawberry, fruit punch, watermelon and cherry chewy candy flavors in a resealable bag. STARBURST Candy Assortment are unexplainably juicy, deliciously fruity and amazingly chewy. Great for party favors, Galentines and Valentines gift exchange. Surprise the STARBURST FaveREDS fan in your life with Valentine candy gifts. You can also use individually wrapped STARBURST Fruit Chews to decorate Valentine's Day desserts. Stock up on these fruity, colorful candies and create deliciously fun moments.","0.04","0.1","0.84","9524",,"$","3.32","1"
"ORALER Gifts for Boyfriend Men,Valentines Day Gifts for Him Teenage Boys,Christmas White Elephant Stocking Stuffers for Dad","ORALER",,"0.07","0.14","0.77","189",,"$","6.99","36"
"SKITTLES Valentine's Day Wild Berry Chewy Candy, Sharing Size, 15.6 oz Bag","Skittles","Loaded with wild berry flavors, these SKITTLES Wild Berry Chewy Candy pure Valentine's Day pleasure in every bite. Get wild with berry punch, strawberry, melon berry, wild cherry, and raspberry fruity candy flavors. Experience all of your favorite wild berry flavors packed in colorful, bite-sized candies. From candy buffets to Valentine's Day candy exchange, SKITTLES Wild Berry Sharing Size Candy comes with enough fruity, chewy candy to share with friends, family and coworkers. Great for party favors, Galentines and Valentines gift exchange. TASTE THE RAINBOW.","0.05","0.1","0.79","19772",,,,"30"
"Jerky Valentine's Gift Bag - Cute Bag filled with a Curated Assortment of Unique Beef Jerky and Beef Sticks - Valentines Gift for Men, Great gifts for Men Who Have Everything","BUNNY · JAMES ·",,"0.12","0.15","0.54","452",,"$","19.99","27"
"Lindt LINDOR Milk Chocolate Candy Truffles, Valentine's Day Chocolate, 15.2 oz. Bag","Lindt","Remind friends or loved ones of how much they mean to you this Valentines Day with Lindt LINDOR Milk Chocolate Truffles. These milk chocolate candy truffles are the perfect indulgence and make a thoughtful gift on their own or the perfect pairing with flowers or a bottle of wine for your special someone. Finely crafted with a premium milk chocolate shell, these milk chocolate candy truffles feature irresistibly smooth, melting centers for the ultimate chocolate experience. These Lindt LINDOR chocolate truffles are individually wrapped, making them perfect for gifting or arranging with rose petals to decorate for a romantic date night in. Using premium ingredients from world-renowned regions, Lindt Master Chocolatiers have been perfecting the art of fine chocolates with unmatched passion and commitment for over 175 years.","0.03","0.07","0.82","3540",,"$","11.49","24"
"EGD Acrylic Personalized Gifts Spotify Plaque | Customized Valentines Day Gifts For Him & Her | Choose Your Favorite Photo & Song For A Unique Personalized Valentines Day Gift","EGD",,"0.06","0.1","0.72","4717",,,,"25"
"Philadelphia Candies Milk Chocolate Covered OREO® Cookies, Valentine's Day Gift 8 Ounce","Philadelphia Candies","Our Valentine's Day gift box contains 4 Heart decorated cookies and 4 undecorated cookies for the highest visual appeal. Makes the perfect gift for that significant other! Made with OREO Cookies covered in Philadelphia Candies milk chocolate. OREO is a registered trademark of Mondelez International. Safety sealed for your protection. Quality and freshness ensured with tamper-proof packaging. Personalized message and gift wrap available during checkout. Philadelphia Candies offers 100% happiness on all chocolates. Philadelphia Candies has been manufacturing fine chocolates in Hermitage, Pennsylvania for over 100 years. The company was founded in 1919 and operates retail stores in Pennsylvania and Ohio.","0.06","0.11","0.75","4307",,"$","14.25","32"
"Burt's Bees Essential Everyday Beauty Valentines Day Gifts Set, 5 Travel Size Products - Deep Cleansing Cream, Hand Salve, Body Lotion, Foot Cream and Lip Balm","Burt's Bees",,"0.04","0.11","0.83","40125",,,,"39"
"Gifts for Women, Mom, Wife, Girlfriend, Sister, Her - Happy Birthday, Christmas, Valentine's Day, Mothers Day Gifts - Lavender Spa Gift Basket Set","LE CADEAU",,"0.03","0.07","0.87","393",,"$","22.99","31"
"Valentines Day Gifts for Her,Birthday Gifts for Women,Valentines Flowers Gifts for Women,Valentine's Day Roses Gifts for Mom Girlfriend Wife,Colorful Rose In A Glass Dome Gifts for Valentine Day","QUNPON",,"0.04","0.09","0.84","4062",,"$","14.98","26"
"Him Her Couple Gifts for Boyfriend Girlfriend Food Decider 11th Anniversary Steel Date Night Gifts for Husband Wife for Wedding Christmas Valentines Birthday for Women Men","STUNFASSOO",,"0.06","0.1","0.8","333",,"$","13.99","20"
"Candles Gifts for Her Funny Novelty Unique Valentines Day Anniversary Christmas Birthday Gift for Girlfriend Wife Lavender Scented Soy Candle","BFJLIFE","Our products are built on two principles: service and quality.Our mission is to provide high quality Candles with no retail mark-up and to provide everyone with a good price When you're happy, we're happy Keeping our customers happy is what keeps us going, and we are committed to giving you a great check-up at all times We believe in the beauty of simplicity, our products are small and simple, suitable for all styles. If you are interested in the Candles or have questions, please feel free to contact us.We will give you a satisfactory reply within 24 hours.","0.07","0.12","0.73","316",,,,"23"
"Valentines Day Gifts for Him/Her, Romantic Novelty Gifts Toilet Paper, Funny Gag Gifts for Adults Men Women Boyfriend Girlfriend, Valentine's Day Decor for Party Supplies Christmas Stocking Stuffers","Likeny",,"0.06","0.12","0.73","464",,"$","11.99","29"
"Ferrero Collection, 16 Count, Assorted Hazelnut, Chocolate and Coconut, Valentine's Chocolate Heart Gift Box, 6.2 oz","Ferrero Rocher","This Valentine's Day, revel in the irresistible delight that is Ferrero Collection. You'll love this luxury heart-shaped gift box that's filled with 16 of our irresistible Ferrero Collection chocolates. An exquisite collection of delicious confections crafted from hazelnut milk chocolate, dark chocolate and white almond coconut truffles, the Ferrero Collection gift box features original, iconic Ferrero Rocher, lusciously layered Raffaello and delicious dark chocolate Rondnoir truffles. Each and every piece is made from the highest-quality ingredients and presented in an elegant heart-shaped premium chocolate gift box that makes a great romantic gift or Valentine's Day centerpiece. Perfect for sharing and gifting all season long, because there is something for everyone in this elegant box of assorted chocolates. Celebrate the moment with someone special and savor the variety of unique chocolate treats with this Ferrero Collection.","0","0.09","0.85","46",,"$","9.97","14"
"EBMORE Womens Fuzzy Socks Slipper Soft Cabin Plush Warm Fluffy Winter Sleep Cozy Adult Socks","EBMORE",,"0.04","0.1","0.82","3214",,,,"28"
"Brach's FRIENDS Valentine's Day Conversation Hearts Candy, 6 oz Bag","Brach's","Brach’s Friends Conversation Hearts are a twist on the iconic, heart-shaped favorite among candy fanatics who want to make it a classic Valentine’s Day. This bag of Friends Valentine's candy hearts is a crunchy and flavorful candy delight that brings a fun twist on love and nostalgia together on Valentine's Day for old school candy fun. This bag includes delicious flavors including Cherry, Watermelon, Strawberry, Pineapple, Orange, and Blueberry. Each Friends Valentine's Conversation Hearts Candy has a colorful saying like “Pivot” or “How u Doin?” imprinted on the front to add a sweet and silly spark to your holiday moments. These hearts are the perfect bulk Valentine's candy purchase to save on adding a special touch to your Valentine’s Day gifts for family or friends. Make your own Valentine's Day bags for school treats, party candy variety pack mix, or use them to make individual Valentines for a class candy exchange event. These Friends hearts go a long way, making one bag an unbeatable bulk candy buy – enough to share, gift, and enjoy. Add a twist to the timeless candy hearts this Valentine’s Day with Brach’s Friends Conversation Hearts Candy.","0.09","0.1","0.58","416",,"$","11.5","22"
"Valentine's Day Gift Care Package (50ct) Snacks Chocolates Candy Gift Box Assortment Variety Bundle Crate Present for Boy Girl Friend Student College Child Husband Wife Boyfriend Girlfriend Love Niece","CRAVEBOX",,"0.06","0.11","0.77","2637",,,,"17"
"LUCKOR Personalized Valentines Day Gifts for Him Her, Customized Spotify Acrylic Plaque with Photo, Custom LED Walnut Picture Frame for Boyfriend Girlfriend, Anniversary Romantic Gifts for Couples","LUCKOR",,"0.04","0.08","0.75","398",,,,"9"
"Jinsome 32 Pack Valentine's Day Heart-Shaped Pop Fidget Toys for Kids, Classroom Bulk Gifts with Keychains & Cards, Perfect for School Party & Class Exchanges","Jinsome",,"0","0.09","0.91","26",,"$","18.99","21"
"LEGO Heart Ornament Building Toy Kit, Heart Shaped Arrangement of Artificial Flowers, Great Gift for Valentine's Day, Unique Arts & Crafts Activity for Kids, Girls and Boys Ages 9 and Up, 40638","LEGO",,"0.02","0.07","0.87","401",,,,"13"
"HERSHEY'S and REESE'S Assorted Chocolate, Valentine's Day Candy Variety Bag, 23.67 oz","HERSHEY'S","HERSHEY'S and REESE'S assorted chocolate candies are fun Valentine's Day exchange treats you can give to family, friends, classmates, teammates, co-workers or anyone who deserves a personalized chocolate candy delivery. This gift box contains HERSHEY'S KISSES milk chocolate candy, REESE'S Miniatures milk chocolate peanut butter cups candy, HERSHEY'S milk chocolate candy bars, HERSHEY'S SPECIAL DARK mildly sweet chocolate candy bars, HERSHEY'S MR. GOODBAR chocolate candy with peanuts bars and HERSHEY'S KRACKEL chocolate candy with crisped rice bars.","0.04","0.09","0.84","1586",,,,"6"
"Ferrero Rocher, 42 Count, Gourmet Milk Chocolate Hazelnut, Valentine's Chocolate, Individually Wrapped, 18.5 oz","Ferrero Rocher","This Valentine's Day, revel in the irresistible delight that is Ferrero Rocher gourmet chocolate. You'll love this luxury gift box that's filled with 42 of our irresistible Ferrero Rocher chocolates. Crafted with a tempting combination of whole crunchy hazelnuts dipped in delicious creamy chocolate hazelnut filling and covered with milk chocolate, crispy wafers, and gently roasted hazelnut pieces. Made from the highest-quality ingredients and presented in an elegant premium chocolate gift box, each piece is individually wrapped in our signature golden wrapper, making this perfect romantic gift even more unique and special. Celebrate the moment with someone special and Ferrero Rocher.","0.02","0.06","0.89","9659",,,,"12"
"Beferr Valentines Day Gifts for Her Women Birthday Gifts Galaxy Rose Enchanted Crystal Flower Gift 8.6"" Light Up Rose in Glass Dome Valentines Roses Ideas Gifts for Mom Wife Sister Girlfriend","Beferr",,"0.04","0.08","0.84","405",,"$","19.99","51"
"Shower Steamers Aromatherapy - 18 Pack Shower Bombs Birthday Gifts for Women, Valentines Day Gifts for Her, Organic with Eucalyptus Mint Lavender Watermelon Grapefruit Essential Oils Stress Relief","JoJowell",,"0.09","0.15","0.66","1522",,"$","24.99","46"
"LEGO Icons Wildflower Bouquet Botanical Collection Building Set for Adults, Valentine Décor for Him or Her, Artificial Flowers with Poppies and Lavender, Unique Gift for Valentines Day, 10313","LEGO",,"0.01","0.04","0.94","3510",,,,"8"
"Push Pop 24 Count Individually Wrapped Lollipops - Variety Candy Party Pack - Bulk Lollipop Suckers in Assorted Fruity Flavors - Valentine’s Day Candy For Kids Candy Gifts and Party Favors","Push Pop",,"0.03","0.09","0.84","4231",,"$","14.83","42"
"Peaceable Kingdom Valentines Cards for Kids Classroom, Set of 28 Valentines Day Gifts - Pop Out Airplanes","Peaceable Kingdom",,"0.1","0.13","0.73","1023",,"$","16.95","18"
"Valentines Day Gifts for Her Galaxy Rose Gifts for Women Gifts for Mom Wife Forever Rose Flowers Personalized Gifts for Women Glass Rose Flower Gift Daughter Valentine Gifts","ZALIK",,"0.04","0.11","0.81","1739",,"$","12.99","19"
"Burt's Bees Lip Balm Valentines Day Gifts, Pink Grapefruit, Mango, Coconut and Pear & Pomegranate, With Responsibly Sourced Beeswax, Tint-Free, Natural Conditioning Lip Treatment, 4 Tubes, 0.15 oz.","Burt's Bees","Burt's Bees Lip Balm instantly softens and hydrates your lips to help prevent dryness, cracking or chapping. Infused with responsibly sourced beeswax to richly moisturize and soothe lips, the nourishing oils and butters will make your lips juicy, happy and healthy. A matte finish keeps your lips their natural color, while the tint-free tube of lip moisturizer glides on smoothly to pamper dry lips while keeping them protected and hydrated. This pack features four refreshing flavors, including Pink Grapefruit, Mango, Coconut and Pear, and Pomegranate. Formulated without parabens, phthalates, petrolatum or SLS, this flavored lip balm is 100% natural origin to rejuvenate and beautify chapped lips with clean ingredients. You can conveniently tuck a tube of this moisturizing lip balm into your pocket or purse to keep natural, nurturing lip care at your fingertips. Playing by natures rules since 1984, Burts Bees uses ingredients from nature to nourish and revitalize your skin and lips, making products that have become a staple of your household. Burts Bees is the No. 1 dermatologist-recommended natural skin care brand (1). (1) Based on a September 2021 NielsenIQ national survey of U.S. Dermatologists.","0.03","0.1","0.85","25765",,"$","9.79","37"
"Valentine’s Candy Variety Pack 18 Count: Bulk Individually Wrapped Candy for Kids w/ Ring Pop, Push Pop, Baby Bottle Pop & Juicy Drop - Candy Gift for Birthdays, Party Favors & Valentine’s Day Parties","Bazooka Candy Brands","Bazooka Candy Brands lollipop candy mix is the ultimate bulk variety of hard candy this Valentine’s Day! Perfect for Valentine’s day this candy box comes with an assortment of iconic Ring Pop, Push Pop, Baby Bottle Pop, and Juicy Drop lollipops in several flavors. Bazooka Candy Brands' variety box is the gift that keeps on giving! Deliciously simple, this variety of Ring Pop and Push Pop lollipops have endless possibilities -- you can take them as Valentine's candy boxes, hand them out as party favors at the next party, or enjoy some with your kids at home. Each 18-count variety candy box contains 6 Ring Pop lollipops, 4 Push Pop lollipops, 4 Baby Bottle Pop lollipops, and 4 Juicy Drop lollipops in an assortment of fruity flavors: Strawberry (all), Blue Raspberry (all), Cosmic Strawberry Lemonade (BBP), Cherry Watermelon (PP). Unwrap the fun at your upcoming party because the variety pack means there are different tasty flavors for each to enjoy, but enough to go around and share the fun together! Bazooka Candy Brands' variety mix of hard candy lollipops is ideal for sharing! Our Valentine’s Day lollipop assortment is shelf-stable and long-lasting. Disclaimer: Not for children 3 and under.","0.03","0.08","0.86","27866",,,,"54"
"Valentines Day Gifts Movie Night Popcorn Gift Set, Valentines Day Gifts For Her Him, 10 Piece Set, 5 Gourmet Popcorn Kernels and 5 Popcorn Seasoning Flavoring, Kosher, Non-GMO Romantic Movie Night Gift Baskets Gift Idea","Pop n' Dulge",,"0.09","0.15","0.69","522",,,,"53"
"Body Restore Shower Steamers Aromatherapy 15 Pack - Valentines Day Gifts, Relaxation Birthday Gifts for Women and Men, Stress Relief and Luxury Self Care, Eucalyptus","Body Restore",,"0.1","0.15","0.66","19907",,"$","25.49","59"
"BAIMEI Jade Roller & Gua Sha, Face Roller Redness Reducing Skin Care Tools, Massager for Face, Eyes, Neck, Relieve Wrinkles, Self Care Gift for Men Women, Valentine's Day Gifts - Rose Quartz","BAIMEI",,"0.06","0.14","0.77","54895",,,,"58"
"Parima Valentines Day Gifts for Her - Trendy Travel Jewelry Case, Personalized Gifts - Pink Travel Jewelry Box | Birthday Gifts for Women Valentines Day Gifts for Teens Girls | Travel Jewelry Case","Parima",,"0.05","0.11","0.78","833",,"$","12.79","98"
"DOVE PROMISES Valentine's Day Individually Wrapped Dark Chocolate Candy Assortment, 15.8 oz Bag","Dove","Product DescriptionMade with only the finest cacao, DOVE PROMISES Silky Smooth Dark Chocolate Candy is a treat that will brighten your Valentine's Day. Each candy comes individually wrapped in foil with a special message inscribed on the inside. These assorted dark chocolate candy delights will be adored and appreciated all season long. Spread the love with friends and family by sharing a bag of DOVE PROMISES Dark Chocolate party favors, Valentines exchange, or Galentine celebrations. Whether eaten as a delightful treat or as a deliciously simple Valentine's Day dessert recipe, these iconic dark chocolates will make you feel indulgent and pampered. Treat yourself to rich dark chocolate in DOVE PROMISES Candy.Manufacturer Contact InformationHackettstown, NJ 07840-1503 USA","0.04","0.09","0.82","2009",,"$","9.28","51"
"Gifts for Women, Unique Spa Gift Basket Set for Mothers Day, Valentines Day - Christmas Gifts for Women, Mom, Friends Female, Sister, Her, Girlfriend, Wife, Teacher, Nurse","MADDIFY",,"0.04","0.17","0.77","132",,,,"60"
"Pop Fidget Toys Bulk Its Valentines Day Gifts for Kids Party Favors for Kids Toys 30 PCS Valentines Mini Pop Heart Keychain It Fidget Toy Pack Fidgets for Classroom Prizes Birthday Goodie Bag Stuffers","Genuvi",,"0.03","0.11","0.85","1469",,"$","13.99","50"
"Nut Cravings Gourmet Collection - Valentines Day Mixed Nuts Heart Shaped Gift Basket, Love in A Box (4 Assortments) Romantic Arrangement Platter, Healthy Kosher USA Made","Nut Cravings",,"0.06","0.12","0.7","19537",,,,"93"
"ChunRun Valentines Day Gifts - Drive Safe Keychain for Boyfriend - Birthday I Love You Gifts for Him Boyfriend Husband Mens","ChunRun",,"0.04","0.06","0.85","54",,,,"52"
"HeartSpace | Valentines Day Card | Handmade Sustainable Bamboo Love Cards | Anniversary Cards for Wife, Husband, Girlfriend | Wooden Memorable & Unique Valentines Gifts for Her, Him | Classic Hearts","HeartspaceCards",,"0.02","0.08","0.88","6354",,"$","13.49","92"
"32pcs Valentines Day Gifts for Kids - Valentines with Mini Pop Fidget Toys Bulk - Valentine Exchange for Girls Boys Classroom","Jetrvat",,"0","0","1","1",,"$","25.99","94"
"REESESValentines Day Milk Chocolate Peanut Butter Hearts 2LB Gold and Red Foils Individually Wrapped Bulk (2 Pounds)","CHAIN & JO SWEETS",,"0.06","0.09","0.67","161",,,,"91"
